,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
831,Suppressed32,Roxbury,02119,19,19,0,0.0,0.0,0.0,19,19,0.0,Rental,Private,,
832,Suppressed33,Beacon Hill,02114,21,21,0,1.0,1.0,0.0,20,20,0.0,Rental,Private,,Y
833,Suppressed34,Mattapan,02126,48,48,0,0.0,0.0,0.0,46,46,0.0,Rental,Public,Y,
834,Suppressed35,Roxbury,02119,131,131,0,0.0,0.0,0.0,131,131,0.0,Rental,Private,,Y
835,Suppressed36,Fenway,02115,48,48,0,0.0,0.0,0.0,48,48,0.0,Rental,Private,,Y
836,Suppressed4,Dorchester,02125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,Y
837,Suppressed5,Dorchester,02125,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
838,Suppressed6,West Roxbury,02132,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
839,Suppressed7,Charlestown,02129,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,
840,Suppressed8,Fenway,02115,14,14,0,1.0,1.0,0.0,13,13,0.0,Rental,Private,,
841,Suppressed9,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
842,Symphony Court at Burbank Street,Fenway,02115,34,0,34,32.0,0.0,32.0,2,0,2.0,Ownership,Private,,
843,Symphony Plaza East,Back Bay,02115,188,188,0,0.0,0.0,0.0,188,188,0.0,Rental,Private,Y,Y
844,Symphony Plaza West,Fenway,02115,216,216,0,0.0,0.0,0.0,216,216,0.0,Rental,Private,Y,Y
845,TAB I,Dorchester,02125,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,Y,Y
846,TAB II,Jamaica Plain,02119,68,68,0,1.0,1.0,0.0,67,67,0.0,Rental,Private,,Y
847,TAB II?,Dorchester,02125,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,
848,Tai Tung Village,Chinatown,02111,215,215,0,1.0,1.0,0.0,214,214,0.0,Rental,Private,,Y
849,Taino Tower,South End,02118,27,0,27,12.0,0.0,12.0,15,0,15.0,Ownership,Private,,
850,Talbot Commons Phase 1,Dorchester,02124,40,40,0,21.0,21.0,0.0,19,19,0.0,Rental,Private,,
851,Talbot/Bernard (Elderly) 202,Dorchester,02124,31,31,0,1.0,1.0,0.0,30,30,0.0,Rental,Private,Y,Y
852,Talbot/Bernard (Rental),Dorchester,02124,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,
853,Tate (VUP),Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
854,Taurus Apts,Roxbury,02121,38,38,0,0.0,0.0,0.0,38,38,0.0,Rental,Private,,Y
855,Taurus at Fountain Hill,Roxbury,02119,73,73,0,0.0,0.0,0.0,73,73,0.0,Rental,Private,,Y
856,TDC III,South End,02118,61,61,0,46.0,46.0,0.0,15,15,0.0,Rental,Private,,
857,Tebroc Levant (HOME AGAIN),Dorchester,02124,5,1,4,0.0,0.0,0.0,5,1,4.0,Ownership/Rental,Private,,
858,Telford 180 (Formerly Charlesview Telford),Brighton,02135,85,0,85,79.0,0.0,79.0,6,0,6.0,Ownership,Private,,
859,Ten Most Wanted - 1,Dorchester,02121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
860,Ten Most Wanted - 10,Roxbury,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
861,Ten Most Wanted - 11,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
862,Ten Most Wanted - 12,Roxbury,02125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
863,Ten Most Wanted - 13,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
864,Ten Most Wanted - 14,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
865,Ten Most Wanted - 15,Roxbury,02125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
866,Ten Most Wanted - 2,Mattapan,02126,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
867,Ten Most Wanted - 3,Roxbury,02119,4,2,2,0.0,0.0,0.0,4,2,2.0,Ownership/Rental,Private,,
868,Ten Most Wanted - 4,Dorchester,02122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
869,Ten Most Wanted - 5,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
870,Ten Most Wanted - 6,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
871,Ten Most Wanted - 7,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
872,Ten Most Wanted - 8,Dorchester,02121,3,2,1,2.0,2.0,0.0,1,0,1.0,Ownership,Private,,
873,Ten Most Wanted - 9,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
874,Tent City,South End,02116,270,270,0,0.0,0.0,0.0,270,270,0.0,Rental,Private,,
875,Thane St Apts,Dorchester,02124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,Y
876,The 1850 Condominium,South End,02118,87,0,87,76.0,0.0,76.0,11,0,11.0,Ownership,Private,,
877,The Aberdeen,Brighton,02125,40,0,40,35.0,0.0,35.0,5,0,5.0,Ownership,Private,,
878,The Anchorage,Charlestown,02129,112,112,0,89.0,89.0,0.0,23,23,0.0,Rental,Private,Y,
879,The Andi (South Bay Town Center Building C),Dorchester,02125,215,215,0,187.0,187.0,0.0,28,28,0.0,Rental,Private,,
880,The Beverly,West End,02114,239,239,0,0.0,0.0,0.0,239,239,0.0,Rental,Private,,
881,The Boulevard,Downtown,02110,36,0,36,31.0,0.0,31.0,5,0,5.0,Ownership,Private,,
882,The Brownstones,South End,02116,35,35,0,28.0,28.0,0.0,7,7,0.0,Rental,Private,,
883,The Bryant,South End,02116,50,0,50,48.0,0.0,48.0,2,0,2.0,Ownership,Private,,
884,The Bulfinch,Mission Hill,02120,5,5,0,0.0,0.0,0.0,5,5,0.0,Ownership,Private,,
885,The Carillon,Fenway,02115,31,30,1,30.0,30.0,0.0,1,0,1.0,Ownership/Rental,Private,,
886,The Chester,South End,02118,17,17,0,7.0,7.0,0.0,10,10,0.0,Rental,Private,,Y
887,The Clarendon,Back Bay,02116,285,178,107,248.0,142.0,106.0,37,36,1.0,Ownership/Rental,Private,,
888,The Clarion,Roxbury,02121,39,39,0,7.0,7.0,0.0,32,32,0.0,Rental,Private,,
889,The Commons at Forest Hills,Jamaica Plain,02130,283,283,0,243.0,243.0,0.0,40,40,0.0,Rental,Private,,
890,The Dorchester,Mattapan,02126,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,?,Y
891,The Edge,Allston,02134,79,79,0,69.0,69.0,0.0,10,10,0.0,Rental,Private,,
892,The Graphic,Charlestown,02129,171,171,0,148.0,148.0,0.0,23,23,0.0,Rental,Private,,
893,The Harmon Apartments (Boston Home Group),Dorchester,02124,36,0,36,6.0,0.0,6.0,30,30,0.0,Rental,Private,,
894,The Harvey,Charlestown,02129,177,177,0,154.0,154.0,0.0,23,23,0.0,Rental,Private,,
895,The Homes at Roxbury Crossing,Mission Hill,02120,22,0,22,0.0,0.0,0.0,22,0,22.0,Ownership,Private,,
896,The Lancaster,Brighton,02134,55,0,55,37.0,0.0,37.0,18,0,18.0,Ownership,Private,,
897,The Macallen,South Boston,02127,144,0,144,124.0,0.0,124.0,20,0,20.0,Ownership,Private,,
898,The Mark at DeNormanie Wharf,East Boston,02128,107,0,107,101.0,0.0,101.0,6,0,6.0,Ownership,Private,,
899,The Melnea (Parcel 9/Residential),Roxbury,02119,50,50,0,43.0,43.0,0.0,7,7,0.0,Rental,Private,,
900,The Metropolitan,Chinatown,02111,251,133,118,136.0,52.0,84.0,115,81,34.0,Ownership/Rental,Private,,Y
901,The Modern,Roxbury,02118,62,0,62,53.0,0.0,53.0,9,0,9.0,Ownership,Private,,
902,The Mt Vernon,Allston,02134,7,7,0,5.0,5.0,0.0,2,2,0.0,Rental,Private,,
903,The Nautica,Charlestown,02129,117,0,117,105.0,0.0,105.0,12,0,12.0,Ownership,Private,,
904,The Pierce,Fenway,02215,349,240,109,307.0,68.0,239.0,42,41,1.0,Ownership/Rental,Private,,
905,The Radian,Chinatown,02111,240,240,0,235.0,235.0,0.0,5,5,0.0,Rental,Private,,
906,The Residences At Forest Hills,Jamaica Plain,02130,250,250,0,200.0,200.0,0.0,50,50,0.0,Rental,Private,,
907,The Residences at St. Augustine,South Boston,02127,29,0,29,25.0,0.0,25.0,4,0,4.0,Ownership,Private,,
908,The Residences at West Broadway,South Boston,02127,139,139,0,122.0,122.0,0.0,17,17,0.0,Rental,Private,,
909,The Residences on E,South Boston,02127,34,0,34,30.0,0.0,30.0,4,0,4.0,Ownership,Private,,
910,The Seville Boston Harbor,East Boston,02128,66,0,66,58.0,0.0,58.0,8,0,8.0,Ownership,Private,,
911,The Stearns,Downtown,02111,140,140,0,1.0,1.0,0.0,139,139,0.0,Rental,Private,Y,Y
912,The Sudbury [Govt Center Garage Rental],Downtown,02114,368,368,0,305.0,305.0,0.0,63,63,0.0,Rental,Private,,
913,The Tremont,Mission Hill,02120,66,66,0,65.0,65.0,0.0,1,1,0.0,Rental,Private,,
914,Theroch,Roxbury,02121,222,222,0,31.0,31.0,0.0,191,191,0.0,Rental,Private,,Y
915,Thetford-Dyer Neighborhood Homes,Dorchester,02124,16,7,9,6.0,6.0,0.0,10,4,6.0,Ownership/Rental,Private,,
916,Torre Unidad (2-49),South End,02118,201,201,0,0.0,0.0,0.0,201,201,0.0,Rental,Public,Y,
917,Townhouses at Glenwood,Hyde Park,02136,19,0,19,17.0,0.0,17.0,2,0,2.0,Rental,Private,?,
918,Townhouses at Neponset River,Hyde Park,02136,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
919,Treadmark,Dorchester,02124,83,51,32,28.0,0.0,28.0,55,51,4.0,Ownership/Rental,Private,,
920,Tremont Houses,Roxbury,02118,23,23,0,0.0,0.0,0.0,23,23,0.0,Rental,Private,,
921,Trilogy Residential,Fenway,02215,534,534,0,475.0,475.0,0.0,59,59,0.0,Rental,Private,,
922,Trinity Neighborhood House,East Boston,02128,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,?,
923,Trinity Terrace,Dorchester,02121,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,,
924,Trolley House Condos,South Boston,02127,25,0,25,23.0,0.0,23.0,2,0,2.0,Ownership,Private,,
925,Troy Boston,South End,02118,378,378,0,340.0,340.0,0.0,38,38,0.0,Rental,Private,,
926,Trull/Ware Homes,Dorchester,02125,4,1,3,0.0,0.0,0.0,4,1,3.0,Ownership/Rental,Private,,
927,Twenty at Luma,Roxbury,02119,20,0,20,0.0,0.0,0.0,20,0,20.0,Ownership,Private,,
928,UE Apartments,Jamaica Plain,02130,82,82,0,0.0,0.0,0.0,82,82,0.0,Rental,Private,Y,
929,UE Dixwell Park,Jamaica Plain,02119,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,
930,Uhomes,Brighton,02134,20,0,20,8.0,0.0,8.0,12,0,12.0,Ownership,Private,,
931,Ulin House,Brighton,02135,242,242,0,0.0,0.0,0.0,242,242,0.0,Rental,Private,Y,Y
932,Uphams Corner Market Residential and Elderhouse,Dorchester,02125,45,45,0,1.0,1.0,0.0,44,44,0.0,Rental,Private,Y,
933,Uphams Corner/Red Hazel Apts,Dorchester,02125,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,Y
934,Uphams West,Roxbury,02125,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,
935,Upton Street Lodging House,South End,02136,19,19,0,1.0,1.0,0.0,18,18,0.0,Rental,Private,,
936,Upton Street Lodging House Units,South End,02118,19,19,0,1.0,1.0,0.0,18,18,0.0,Rental,Private,,
937,Urbanica 691,Roxbury,02118,40,0,40,38.0,0.0,38.0,2,0,2.0,Ownership,Private,,
938,Urbanica Highland Park (E+),Roxbury,02119,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,
939,Uva Douglas Estates,Roxbury,02121,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,
940,Valenchuck (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
941,Van Ness Terrace,Roxbury,02119,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,
942,Vet Step Up,Roxbury,02121,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,
943,Veterans Studios at Brighton Marine,Brighton,02135,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,
944,VFW Parkway Condos,West Roxbury,02132,15,0,15,14.0,0.0,14.0,1,0,1.0,Ownership,Private,,
945,Victoria Apartments,South End,02118,190,190,0,0.0,0.0,0.0,190,190,0.0,Rental,Private,,Y
946,Victory Gardens Plaza,East Boston,02128,87,87,0,0.0,0.0,0.0,87,87,0.0,Rental,Private,Y,Y
947,Victory House,South End,02118,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
948,Viet-AID,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
949,Villa Michelangelo,North End,02113,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,Y,
950,Village At Cleary Square,Hyde Park,02136,59,0,59,53.0,0.0,53.0,6,0,6.0,Ownership,Private,,
951,Vines (VUP) CDFI,Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
952,Viridian,Fenway,02215,350,350,0,312.0,312.0,0.0,38,38,0.0,Rental,Private,,
953,VITA,Jamaica Plain,02130,126,0,126,107.0,0.0,107.0,19,0,19.0,Ownership,Private,,
954,Viviendas Associates I,South End,02118,181,181,0,0.0,0.0,0.0,181,181,0.0,Rental,Private,,Y
955,Viviendas La Victoria II,South End,02118,190,190,0,0.0,0.0,0.0,190,190,0.0,Rental,Private,,
956,Wait Street,Mission Hill,02115,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,Y,Y
957,Walker Park Apartments,Roxbury,02130,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,
958,Wallingford Housing,Brighton,02135,209,209,0,0.0,0.0,0.0,209,209,0.0,Rental,Private,Y,Y
959,Walnut Avenue Apartments (SPO),Jamaica Plain,02130,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,
960,Walnut Community Housing,Roxbury,02119,37,37,0,3.0,3.0,0.0,34,34,0.0,Rental,Private,Y,
961,Walnut House/Rogerson,Jamaica Plain,02119,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,Y,
962,Walter Baker Lofts,Mattapan,02124,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,
963,Walter J. Martin Coop,South Boston,02127,34,34,0,0.0,0.0,0.0,34,34,0.0,Cooperative,Private,,
964,Wardman Apts,Roxbury,02119,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,,Y
965,Wareham Lofts,South End,02118,28,0,28,25.0,0.0,25.0,3,0,3.0,Ownership,Private,,
966,Warren Avenue Apts,South End,02116,30,30,0,1.0,1.0,0.0,29,29,0.0,Rental,Private,,Y
967,Warren Gardens Coop,Roxbury,02119,228,228,0,0.0,0.0,0.0,228,228,0.0,Cooperative,Private,,Y
968,Warren Green Leasehold Condominiums,Charlestown,02129,17,0,17,15.0,0.0,15.0,2,0,2.0,Ownership,Private,,
969,Warren St Nursing Home,Roxbury,02121,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
970,Washington Grove,West Roxbury,02132,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership/Rental,Private,,
971,"Washington Heights I, II",Roxbury,02119,175,175,0,0.0,0.0,0.0,175,175,0.0,Rental,Private,,Y
972,Washington Manor (2-44C),South End,02118,77,77,0,0.0,0.0,0.0,77,77,0.0,Rental,Public,Y,
973,Washington Mews,Dorchester,02124,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,
974,Washington Street (2-35),Brighton,02135,82,82,0,0.0,0.0,0.0,82,82,0.0,Rental,Public,Y,
975,Washington-Beech (2-13),Roslindale,02131,206,206,0,0.0,0.0,0.0,206,206,0.0,Rental,Public/Private,,Y
976,Waterford Place,South End,02118,40,40,0,14.0,14.0,0.0,26,26,0.0,Rental,Private,,
977,Watermark Seaport Apartments,South Boston Waterfront,02210,346,346,0,301.0,301.0,0.0,45,45,0.0,Rental,Private,,
978,Waterside Place,South Boston Waterfront,02210,236,236,0,231.0,231.0,0.0,5,5,0.0,Rental,Private,,
979,Waterstone at the Circle,Brighton,02135,92,92,0,80.0,80.0,0.0,12,12,0.0,Rental,Private,?,
980,Waterview Apartments,South Boston,02127,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,Y,Y
981,Watson (VUP),Dorchester,02124,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
982,Waverly Abby - Bridge Over Troubled Waters,Brighton,02134,28,28,0,0.0,0.0,0.0,28,28,0.0,Rental,Private,,
983,Waverly Homes II,Roxbury,02125,9,2,7,0.0,0.0,0.0,9,2,7.0,Ownership/Rental,Private,,
984,Wayland Street Homes,Roxbury,02125,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
985,Wayne Apartments,Roxbury,02121,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,,Y
986,Wayne at Bicknell,Dorchester,02121,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Private,,Y
987,Wayne at Blue Hill,Mattapan,02126,48,48,0,0.0,0.0,0.0,48,48,0.0,Rental,Private,,Y
988,Wayne at Columbia,Dorchester,02121,83,83,0,0.0,0.0,0.0,83,83,0.0,Rental,Private,,Y
989,Wayne at Franklin,Dorchester,02124,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Private,,Y
990,Weld Park Apts,Roslindale,02131,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,Y,Y
991,Wellington Hill Phase I,Dorchester,02126,23,9,14,0.0,0.0,0.0,23,9,14.0,Ownership/Rental,Private,,
992,Wellington Hill Phase II,Mattapan,02126,8,3,5,0.0,0.0,0.0,8,3,5.0,Ownership/Rental,Private,,
993,Welsh (VUP),Brighton,02135,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
994,West Broadway/D St (200-1),South Boston,02127,484,484,0,0.0,0.0,0.0,484,484,0.0,Rental,Public,,
995,West Cottage St Condominiums,Roxbury,02125,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,
996,West Fenway Elderly,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,Y,
997,West Newton Street (2-58),South End,02118,149,149,0,0.0,0.0,0.0,149,149,0.0,Rental,Public,,
998,West Ninth Street (2-36),South Boston,02127,84,84,0,1.0,1.0,0.0,83,83,0.0,Rental,Public,Y,
999,West Roxbury Residences,West Roxbury,02132,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
1000,West Square,South Boston,02127,255,255,0,222.0,222.0,0.0,33,33,0.0,Rental,Private,,
1001,Westland Avenue Apartments,Fenway,02115,96,96,0,35.0,35.0,0.0,61,61,0.0,Rental,Private,Y,Y
1002,Westminster 21 (Urban Edge),Roxbury,02119,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
1003,Westminster Court,Roxbury,02119,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,
1004,Whittier Street Apartments (2-11),Roxbury,02120,144,144,0,16.0,16.0,0.0,128,128,0.0,Rental,Public/Private,,
1005,Whittier/Lyndhurst/Washington,Dorchester,02124,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,
1006,Wilder Gardens,Dorchester,02121,61,61,0,0.0,0.0,0.0,61,61,0.0,Rental,Private,,Y
1007,Wilkes Passage Loft Condominium,South End,02118,155,0,155,135.0,0.0,135.0,20,0,20.0,Ownership,Private,,
1008,Williams (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
1009,Willowwood|Hildreth NHI,Dorchester,02124,8,4,4,0.0,0.0,0.0,8,4,4.0,Ownership/Rental,Private,,
1010,Wilshire Apartments,Roxbury,02121,29,29,0,0.0,0.0,0.0,29,29,0.0,Rental,Private,,Y
1011,Winslow Court,Roxbury,02119,24,5,19,0.0,0.0,0.0,24,5,19.0,Ownership/Rental,Private,,
1012,Winston/Harwood (689-?),Dorchester,02124,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Public,,
1013,Wood (VUP),Dorchester,02124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
1014,Woodbourne Elderly Apts,Jamaica Plain,02130,76,76,0,1.0,1.0,0.0,75,75,0.0,Rental,Private,Y,Y
1015,Woodbury Cunard Building,East Boston,02128,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,Y,
1016,Woodledge/Granfield,Roslindale,02131,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
1017,Woodward Park - North - Home Again,Roxbury,02125,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
1018,Woodward Park II - HOME AGAIN,Roxbury,02125,11,0,11,0.0,0.0,0.0,11,0,11.0,Ownership,Private,,
1019,Worcester House,Back Bay,02116,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,
1020,Worcester Square,South End,02118,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,
1021,Wrentham St School,Mission Hill,02120,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
1022,x & 404 West Second St,South Boston,02127,17,0,17,14.0,0.0,14.0,3,0,3.0,Ownership,Private,,
1023,x & 50 Corbet (REMS Land),Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1024,x & x St George Street Condominium,South End,02118,29,0,29,15.0,0.0,15.0,14,0,14.0,Ownership,Private,,
1025,x -1740 Washington St,South End,02118,33,33,0,2.0,2.0,0.0,31,31,0.0,Rental,Private,,
1026,x A Street,South Boston,02127,25,0,25,22.0,0.0,22.0,3,0,3.0,Ownership,Private,,
1027,x A Street Front,South Boston Waterfront,02127,48,0,48,44.0,0.0,44.0,4,0,4.0,Ownership,Private,,
1028,x Adams Street,Dorchester,02122,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1029,x Albany Street,South End,02118,40,0,40,35.0,0.0,35.0,5,0,5.0,Ownership,Private,,
1030,x Algonquin St,Dorchester,02124,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,
1031,x Alpine Street,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1032,x Alvah Kittredge Park,Roxbury,02119,4,2,2,3.0,1.0,2.0,1,1,0.0,Ownership/Rental,Private,,
1033,x American Legion Highway (AOP),Roslindale,02131,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
1034,x Amory Ave,Jamaica Plain,02119,39,39,0,0.0,0.0,0.0,39,39,0.0,Rental,Private,,
1035,x Amory St,Jamaica Plain,02119,12,12,0,10.0,10.0,0.0,2,2,0.0,Rental,Private,,
1036,x and 120-122 Mt. Pleasant Avenue,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
1037,x and 380 Harrison Ave,South End,02118,273,172,101,218.0,120.0,98.0,55,52,3.0,Ownership/Rental,Private,,
1038,x Arbutus (YouthBuild),Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
1039,x Arbutus Street,Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
1040,x Arlington St (AOP),Hyde Park,02136,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
1041,x Ashland St,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Public,,
1042,x Astoria Street (Beharry VUP),Mattapan,02126,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1043,x Athens St,South Boston,02127,15,0,15,13.0,0.0,13.0,2,0,2.0,Ownership,Private,,
1044,x B Street,South Boston,02127,3,0,3,2.0,0.0,2.0,1,0,1.0,Ownership,Private,,
1045,x Banton St,Dorchester,02124,18,0,18,16.0,16.0,0.0,2,2,0.0,Rental,Private,,
1046,x Batchelder St,Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Public,,
1047,x Beach St. Loft Condominium,Leather District,02111,44,0,44,41.0,0.0,41.0,3,0,3.0,Ownership,Private,,
1048,x Belgrade Ave,Roslindale,02131,21,21,0,18.0,18.0,0.0,3,3,0.0,Rental,Private,,
1049,x Bellevue Street,Dorchester,02125,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1050,x Bennington St,East Boston,02128,42,42,0,37.0,37.0,0.0,5,5,0.0,Rental,Private,,
1051,x Bennington St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1052,x Bennington St. EBO 02128-COB,East Boston,02128,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1053,x Birch Rd (RDP),West Roxbury,02122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1054,x Blackinton St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1055,x Blue Hill Ave,Roxbury,02119,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1056,x Blue Hill Ave (REMS buildings),Roxbury,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1057,x Boardman,East Boston,02128,19,19,0,17.0,0.0,17.0,2,0,2.0,Ownership,Private,,
1058,x Boardman St,East Boston,02128,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Public,,
1059,x Bowdoin Ave (AOP),Dorchester,02121,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,
1060,x Bowdoin St,Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Public,,
1061,x Bowdoin St (RDP),Dorchester,02121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
1062,x Boylston,Fenway,02215,199,199,0,189.0,189.0,0.0,10,10,0.0,Rental,Private,,
1063,x Boylston Rehab Phase,Downtown,02116,46,46,0,0.0,0.0,0.0,46,46,0.0,Rental,Private,,
1064,x Boylston St,Downtown,02116,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,
1065,x Braintree Street,Allston,02134,80,80,0,69.0,69.0,0.0,11,11,0.0,Rental,Private,,
1066,x Breed St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1067,x Bremen St,East Boston,02128,32,32,0,27.0,27.0,0.0,5,5,0.0,Rental,Private,,
1068,x Bremen St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1069,x Broad Street,Downtown,02110,96,0,96,93.0,0.0,93.0,3,0,3.0,Ownership,Private,,
1070,x Brooks St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
