,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
525,Main Street Townhouses,Charlestown,02129,26,0,26,16.0,0.0,16.0,10,0,10.0,Ownership,Private,,
529,Manganello (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
533,Marriro (VUP) CDFI,Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
534,Martinex-Alamo (VUP),Roxbury,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
547,Mendes (VUP),Dorchester,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
548,Meranda (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
551,Meridian St,East Boston,02128,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
553,Mezzo Design Lofts,Charlestown,02129,146,0,146,131.0,0.0,131.0,15,0,15.0,Ownership,Private,,
554,MHPI Community Apartments,Mission Hill,02120,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
557,MHPI IV-A,Jamaica Plain,02130,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y
558,MHPI IV-B,Roxbury,02119,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y
562,Midway Phase I,South Boston Waterfront,02127,44,0,44,38.0,0.0,38.0,6,0,6.0,Ownership,Private,,
564,Miller (VUP),Dorchester,02122,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
566,Minot Hall Condominium,South End,02118,45,0,45,42.0,0.0,42.0,3,0,3.0,Ownership,Private,,
570,Mission Hill Phase I - HOME AGAIN,Mission Hill,02120,22,6,16,0.0,0.0,0.0,22,6,16.0,Ownership/Rental,Private,,
572,Mission Hill Scattered Sites,Mission Hill,02120,21,0,21,16.0,0.0,16.0,5,0,5.0,Ownership,Private,,
573,Mission Hill-Phase III - Home Again,Mission Hill,02120,24,6,18,0.0,0.0,0.0,24,6,18.0,Ownership/Rental,Private,,
578,MLK/Washington Commons,Roxbury,02119,49,0,49,21.0,0.0,21.0,28,0,28.0,Ownership,Private,,
579,Monsignor Lyons Condo II,South Boston,02127,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
580,Monsignor Lyons II- HOME AGAIN,South Boston,02127,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
581,Monsignor Lyons Townhouses,South Boston,02127,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
582,Montebello Rd Coop,Jamaica Plain,02130,7,7,0,0.0,0.0,0.0,7,7,0.0,Cooperative,Private,,
583,Moore (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
593,Mt. Bowdoin/Erie Ellington - HOME AGAIN,Dorchester,02121,16,6,10,0.0,0.0,0.0,16,6,10.0,Ownership/Rental,Private,,
594,Munevar (VUP),Jamaica Plain,02130,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
602,New England Heritage Homes 1,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
603,New England Heritage Homes 2,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
604,New England Heritage Homes 3,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
605,New England Heritage Homes 4,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
606,New England Heritage Homes 5,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
607,New England Heritage Homes 6,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
608,New England Heritage Homes 7,Dorchester,02124,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
613,Norflett (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
614,Norfolk Street Transitional,Mattapan,02126,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
617,Northampton Street,Roxbury,02118,32,0,32,26.0,0.0,26.0,6,0,6.0,Ownership,Private,,
621,Norwell Whitfield (HOME AGAIN),Dorchester,02124,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,
622,Nu Life Development,Dorchester,02121,16,0,16,0.0,0.0,0.0,16,0,16.0,Ownership,Private,,
628,Old Colony Square,South Boston,02127,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership,Private,,
629,Oliveira (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
638,One Garden Condominium,Beacon Hill,02114,12,0,12,11.0,0.0,11.0,1,0,1.0,Ownership,Private,,
641,One Lincoln Plaza,Leather District,02111,85,0,85,74.0,0.0,74.0,11,0,11.0,Ownership,Private,,
646,Otis Field Estates,Roxbury,02121,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
647,Owens (VUP),Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
651,Parcel 24/South Homeownership,Chinatown,02111,51,0,51,0.0,0.0,0.0,51,0,51.0,Ownership,Private,,
653,Parcel 39A,Charlestown,02129,54,0,54,43.0,0.0,43.0,11,0,11.0,Ownership,Private,,
654,Parcel P-2,Charlestown,02129,21,0,21,14.0,0.0,14.0,7,0,7.0,Ownership,Private,,
655,Parcel R-8,Roxbury,02118,3,0,3,2.0,0.0,2.0,1,0,1.0,Ownership,Private,,
657,Parcel U (Phase B),Jamaica Plain,02130,30,0,30,26.0,0.0,26.0,4,0,4.0,Ownership,Private,,
667,Parry (VUP),Roxbury,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
669,Pass (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
671,Patrick (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
675,Penniman on the Park,Allston,02134,36,0,36,30.0,0.0,30.0,6,0,6.0,Ownership,Private,,
676,Penny Savings,South End,02118,23,0,23,21.0,0.0,21.0,2,0,2.0,Ownership,Private,,
677,Pereira (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
678,Perkins (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
680,Peters (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
686,Pinnock (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
688,Port 45,South Boston,02127,104,0,104,91.0,0.0,91.0,13,0,13.0,Ownership,Private,,
689,Portis Family House,Jamaica Plain,02115,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,
690,Powell (VUP),Roxbury,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
693,Putnam Place,Roxbury,02121,9,1,8,2.0,0.0,2.0,7,1,6.0,Ownership/Rental,Private,,
699,Raven-Ramsey-Folsom,Dorchester,02125,7,4,3,1.0,0.0,1.0,6,3,3.0,Ownership/Rental,Private,,
700,Reddick (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
703,Residences At Bigelow Court,Brighton,02135,26,0,26,23.0,0.0,23.0,3,0,3.0,Ownership/Rental,Private,,
705,Residences at Dahlgren Hall,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,
709,RMSC Family House Shelter Conversion,Dorchester,02121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
711,Robinson (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
716,Rodrigues (VUP),Jamaica Plain,02130,2,2,0,1.0,1.0,0.0,1,1,0.0,Rental,Private,,
719,Roslindale Commons Condominiums,Roslindale,02131,12,0,12,11.0,0.0,11.0,1,0,1.0,Ownership,Private,,
727,R-Prospect St,Charlestown,02129,14,0,14,11.0,0.0,11.0,3,0,3.0,Ownership,Private,,
731,Rutland Square,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
733,S Boston Hsg Initiative- Habitat,South Boston,02127,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,
734,Safe Haven,Back Bay,02116,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
736,Saratoga Heights,East Boston,02128,21,0,21,18.0,0.0,18.0,3,0,3.0,Ownership,Private,,
738,Sargent Street Homes - Home Again,Roxbury,02125,16,5,11,0.0,0.0,0.0,16,5,11.0,Ownership/Rental,Private,,
740,Savin Maywood Init. (Phase II),Roxbury,02119,8,0,8,0.0,0.0,0.0,8,0,8.0,Ownership,Private,,
742,Savin/Maywood (Phase III) - Home Again,Roxbury,02119,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
747,SECD Housing,Roxbury,02118,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y
748,SECHC Cumston St,South End,02118,58,0,58,51.0,0.0,51.0,7,0,7.0,Ownership,Private,,
753,Shawmut Estates (p/o Orchard Park offsite Phase 3 HO),Roxbury,02119,15,0,15,0.0,0.0,0.0,15,0,15.0,Ownership,Private,,
755,Signal Building,South Boston,02127,75,0,75,66.0,0.0,66.0,9,0,9.0,Ownership,Private,,
756,Singleton (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
757,Siochain II,East Boston,02128,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
760,Six55 Condominium,South Boston,02127,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,
762,"Smith, Steven (VUP)",Dorchester,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
763,Soares (VUP),Roxbury,02125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
769,South Boston Housing Initiative - Cityside,South Boston,02127,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
773,SOUTH END APARTMENTS RENOVATION PROJECT,Roxbury,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
774,South End CHC,South End,02118,60,2,58,54.0,0.0,54.0,6,2,4.0,Ownership/Rental,Private,,
779,Southwest Crossing Condominium,Roslindale,02131,12,0,12,8.0,0.0,8.0,4,0,4.0,Ownership/Rental,Private,,
789,St James Estate Condominium,Roxbury,02119,22,0,22,14.0,0.0,14.0,8,0,8.0,Ownership,Private,,
790,St John of God - Market & Clergy,Brighton,02135,92,8,84,84.0,0.0,84.0,8,8,0.0,Ownership/Rental,Private,,
793,St Peter and Paul Church and Rectory,South Boston,02127,44,0,44,37.0,0.0,37.0,7,0,7.0,Ownership,Private,,
794,Stadia 50,Brighton,02135,46,0,46,40.0,0.0,40.0,6,0,6.0,Ownership,Private,,
796,Stanwood Homes - Home Again,Dorchester,02121,19,7,12,0.0,0.0,0.0,19,7,12.0,Ownership/Rental,Private,,
797,Stille (VUP),South Boston,02127,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
798,Stonewall at Audubon Circle Phase I,Fenway,02215,53,0,53,48.0,0.0,48.0,5,0,5.0,Ownership,Private,,
803,Sullivan (VUP),Dorchester,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
804,Sumner Court,Dorchester,02125,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
805,Sumner Hill House,Jamaica Plain,02130,75,0,75,45.0,0.0,45.0,30,0,30.0,Rental,Private,,
815,Suppressed18,Dorchester,02122,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
816,Suppressed19,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
818,Suppressed20,Dorchester,02125,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
819,Suppressed21,South End,02118,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
821,Suppressed23,Dorchester,02124,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
822,Suppressed24,Dorchester,02124,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,
826,Suppressed28,Jamaica Plain,02130,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
827,Suppressed29,Mattapan,02126,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
836,Suppressed4,Dorchester,02125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,Y
838,Suppressed6,West Roxbury,02132,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
841,Suppressed9,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
842,Symphony Court at Burbank Street,Fenway,02115,34,0,34,32.0,0.0,32.0,2,0,2.0,Ownership,Private,,
849,Taino Tower,South End,02118,27,0,27,12.0,0.0,12.0,15,0,15.0,Ownership,Private,,
853,Tate (VUP),Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
857,Tebroc Levant (HOME AGAIN),Dorchester,02124,5,1,4,0.0,0.0,0.0,5,1,4.0,Ownership/Rental,Private,,
858,Telford 180 (Formerly Charlesview Telford),Brighton,02135,85,0,85,79.0,0.0,79.0,6,0,6.0,Ownership,Private,,
859,Ten Most Wanted - 1,Dorchester,02121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
860,Ten Most Wanted - 10,Roxbury,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
861,Ten Most Wanted - 11,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
862,Ten Most Wanted - 12,Roxbury,02125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
863,Ten Most Wanted - 13,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
864,Ten Most Wanted - 14,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
865,Ten Most Wanted - 15,Roxbury,02125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
866,Ten Most Wanted - 2,Mattapan,02126,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
867,Ten Most Wanted - 3,Roxbury,02119,4,2,2,0.0,0.0,0.0,4,2,2.0,Ownership/Rental,Private,,
868,Ten Most Wanted - 4,Dorchester,02122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
869,Ten Most Wanted - 5,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
870,Ten Most Wanted - 6,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
871,Ten Most Wanted - 7,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
872,Ten Most Wanted - 8,Dorchester,02121,3,2,1,2.0,2.0,0.0,1,0,1.0,Ownership,Private,,
873,Ten Most Wanted - 9,Dorchester,02121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
875,Thane St Apts,Dorchester,02124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,Y
876,The 1850 Condominium,South End,02118,87,0,87,76.0,0.0,76.0,11,0,11.0,Ownership,Private,,
877,The Aberdeen,Brighton,02125,40,0,40,35.0,0.0,35.0,5,0,5.0,Ownership,Private,,
881,The Boulevard,Downtown,02110,36,0,36,31.0,0.0,31.0,5,0,5.0,Ownership,Private,,
883,The Bryant,South End,02116,50,0,50,48.0,0.0,48.0,2,0,2.0,Ownership,Private,,
884,The Bulfinch,Mission Hill,02120,5,5,0,0.0,0.0,0.0,5,5,0.0,Ownership,Private,,
893,The Harmon Apartments (Boston Home Group),Dorchester,02124,36,0,36,6.0,0.0,6.0,30,30,0.0,Rental,Private,,
895,The Homes at Roxbury Crossing,Mission Hill,02120,22,0,22,0.0,0.0,0.0,22,0,22.0,Ownership,Private,,
896,The Lancaster,Brighton,02134,55,0,55,37.0,0.0,37.0,18,0,18.0,Ownership,Private,,
897,The Macallen,South Boston,02127,144,0,144,124.0,0.0,124.0,20,0,20.0,Ownership,Private,,
898,The Mark at DeNormanie Wharf,East Boston,02128,107,0,107,101.0,0.0,101.0,6,0,6.0,Ownership,Private,,
901,The Modern,Roxbury,02118,62,0,62,53.0,0.0,53.0,9,0,9.0,Ownership,Private,,
902,The Mt Vernon,Allston,02134,7,7,0,5.0,5.0,0.0,2,2,0.0,Rental,Private,,
903,The Nautica,Charlestown,02129,117,0,117,105.0,0.0,105.0,12,0,12.0,Ownership,Private,,
907,The Residences at St. Augustine,South Boston,02127,29,0,29,25.0,0.0,25.0,4,0,4.0,Ownership,Private,,
909,The Residences on E,South Boston,02127,34,0,34,30.0,0.0,30.0,4,0,4.0,Ownership,Private,,
910,The Seville Boston Harbor,East Boston,02128,66,0,66,58.0,0.0,58.0,8,0,8.0,Ownership,Private,,
915,Thetford-Dyer Neighborhood Homes,Dorchester,02124,16,7,9,6.0,6.0,0.0,10,4,6.0,Ownership/Rental,Private,,
917,Townhouses at Glenwood,Hyde Park,02136,19,0,19,17.0,0.0,17.0,2,0,2.0,Rental,Private,?,
918,Townhouses at Neponset River,Hyde Park,02136,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,
924,Trolley House Condos,South Boston,02127,25,0,25,23.0,0.0,23.0,2,0,2.0,Ownership,Private,,
926,Trull/Ware Homes,Dorchester,02125,4,1,3,0.0,0.0,0.0,4,1,3.0,Ownership/Rental,Private,,
927,Twenty at Luma,Roxbury,02119,20,0,20,0.0,0.0,0.0,20,0,20.0,Ownership,Private,,
930,Uhomes,Brighton,02134,20,0,20,8.0,0.0,8.0,12,0,12.0,Ownership,Private,,
937,Urbanica 691,Roxbury,02118,40,0,40,38.0,0.0,38.0,2,0,2.0,Ownership,Private,,
938,Urbanica Highland Park (E+),Roxbury,02119,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,
940,Valenchuck (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
942,Vet Step Up,Roxbury,02121,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,
944,VFW Parkway Condos,West Roxbury,02132,15,0,15,14.0,0.0,14.0,1,0,1.0,Ownership,Private,,
947,Victory House,South End,02118,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
948,Viet-AID,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
950,Village At Cleary Square,Hyde Park,02136,59,0,59,53.0,0.0,53.0,6,0,6.0,Ownership,Private,,
951,Vines (VUP) CDFI,Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
953,VITA,Jamaica Plain,02130,126,0,126,107.0,0.0,107.0,19,0,19.0,Ownership,Private,,
965,Wareham Lofts,South End,02118,28,0,28,25.0,0.0,25.0,3,0,3.0,Ownership,Private,,
968,Warren Green Leasehold Condominiums,Charlestown,02129,17,0,17,15.0,0.0,15.0,2,0,2.0,Ownership,Private,,
969,Warren St Nursing Home,Roxbury,02121,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
970,Washington Grove,West Roxbury,02132,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership/Rental,Private,,
981,Watson (VUP),Dorchester,02124,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
983,Waverly Homes II,Roxbury,02125,9,2,7,0.0,0.0,0.0,9,2,7.0,Ownership/Rental,Private,,
984,Wayland Street Homes,Roxbury,02125,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
991,Wellington Hill Phase I,Dorchester,02126,23,9,14,0.0,0.0,0.0,23,9,14.0,Ownership/Rental,Private,,
992,Wellington Hill Phase II,Mattapan,02126,8,3,5,0.0,0.0,0.0,8,3,5.0,Ownership/Rental,Private,,
993,Welsh (VUP),Brighton,02135,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
995,West Cottage St Condominiums,Roxbury,02125,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,
996,West Fenway Elderly,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,Y,
999,West Roxbury Residences,West Roxbury,02132,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
1002,Westminster 21 (Urban Edge),Roxbury,02119,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,
1007,Wilkes Passage Loft Condominium,South End,02118,155,0,155,135.0,0.0,135.0,20,0,20.0,Ownership,Private,,
1008,Williams (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
1009,Willowwood|Hildreth NHI,Dorchester,02124,8,4,4,0.0,0.0,0.0,8,4,4.0,Ownership/Rental,Private,,
1011,Winslow Court,Roxbury,02119,24,5,19,0.0,0.0,0.0,24,5,19.0,Ownership/Rental,Private,,
1012,Winston/Harwood (689-?),Dorchester,02124,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Public,,
1013,Wood (VUP),Dorchester,02124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
1016,Woodledge/Granfield,Roslindale,02131,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
1017,Woodward Park - North - Home Again,Roxbury,02125,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
1018,Woodward Park II - HOME AGAIN,Roxbury,02125,11,0,11,0.0,0.0,0.0,11,0,11.0,Ownership,Private,,
1021,Wrentham St School,Mission Hill,02120,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
1022,x & 404 West Second St,South Boston,02127,17,0,17,14.0,0.0,14.0,3,0,3.0,Ownership,Private,,
1023,x & 50 Corbet (REMS Land),Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1024,x & x St George Street Condominium,South End,02118,29,0,29,15.0,0.0,15.0,14,0,14.0,Ownership,Private,,
1026,x A Street,South Boston,02127,25,0,25,22.0,0.0,22.0,3,0,3.0,Ownership,Private,,
1027,x A Street Front,South Boston Waterfront,02127,48,0,48,44.0,0.0,44.0,4,0,4.0,Ownership,Private,,
1028,x Adams Street,Dorchester,02122,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1029,x Albany Street,South End,02118,40,0,40,35.0,0.0,35.0,5,0,5.0,Ownership,Private,,
1030,x Algonquin St,Dorchester,02124,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,
1031,x Alpine Street,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1032,x Alvah Kittredge Park,Roxbury,02119,4,2,2,3.0,1.0,2.0,1,1,0.0,Ownership/Rental,Private,,
1033,x American Legion Highway (AOP),Roslindale,02131,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
1036,x and 120-122 Mt. Pleasant Avenue,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
1038,x Arbutus (YouthBuild),Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
1039,x Arbutus Street,Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,
1040,x Arlington St (AOP),Hyde Park,02136,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
1041,x Ashland St,Dorchester,02122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Public,,
1042,x Astoria Street (Beharry VUP),Mattapan,02126,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1043,x Athens St,South Boston,02127,15,0,15,13.0,0.0,13.0,2,0,2.0,Ownership,Private,,
1044,x B Street,South Boston,02127,3,0,3,2.0,0.0,2.0,1,0,1.0,Ownership,Private,,
1045,x Banton St,Dorchester,02124,18,0,18,16.0,16.0,0.0,2,2,0.0,Rental,Private,,
1046,x Batchelder St,Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Public,,
1047,x Beach St. Loft Condominium,Leather District,02111,44,0,44,41.0,0.0,41.0,3,0,3.0,Ownership,Private,,
1049,x Bellevue Street,Dorchester,02125,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1051,x Bennington St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1052,x Bennington St. EBO 02128-COB,East Boston,02128,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1053,x Birch Rd (RDP),West Roxbury,02122,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1054,x Blackinton St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1055,x Blue Hill Ave,Roxbury,02119,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
1056,x Blue Hill Ave (REMS buildings),Roxbury,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1058,x Boardman St,East Boston,02128,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Public,,
1060,x Bowdoin St,Dorchester,02124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Public,,
1061,x Bowdoin St (RDP),Dorchester,02121,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
1066,x Breed St (AOP),East Boston,02128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
1068,x Bremen St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1069,x Broad Street,Downtown,02110,96,0,96,93.0,0.0,93.0,3,0,3.0,Ownership,Private,,
1070,x Brooks St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1073,x Bushnell St,Dorchester,02124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,
1074,x Cambridge,Allston,02134,44,0,44,38.0,0.0,38.0,6,0,6.0,Ownership,Private,,
1075,x Cambridge St,Allston,02134,32,0,32,28.0,0.0,28.0,4,0,4.0,Ownership,Private,,
1077,x Cameron Street,Dorchester,02125,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1078,x Carlford Rd,Jamaica Plain,02130,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Public,,
1079,x Catawba St - Youthbuild,Roxbury,02119,3,2,1,1.0,1.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1082,x Chamblet Street,Dorchester,02125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
1083,x Chaucer St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
1084,x Chauncy Street Condominium,Downtown,02111,33,0,33,29.0,0.0,29.0,4,0,4.0,Ownership,Private,,
1085,x Chelsea St (1-4 Program),East Boston,02128,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,
1086,x Chelsea St (AOP),East Boston,02128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
